 2017-04-30 17:10:30,732 [P14596/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.8 application starting on JUHO
 2017-04-30 17:10:30,788 [P14596/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-04-30 17:10:30,811 [P14596/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 23ms)
 2017-04-30 17:10:30,938 [P14596/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-04-30 17:10:30,942 [P14596/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-04-30 17:10:30,960 [P14596/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-04-30 17:10:31,123 [P14596/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 162ms)
 2017-04-30 17:10:31,276 [P14596/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-04-30 17:10:31,278 [P14596/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 1ms)
 2017-04-30 17:10:31,278 [P14596/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-04-30 17:10:31,282 [P14596/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 3ms)
 2017-04-30 17:10:31,311 [P14596/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-04-30 17:10:31,424 [P14596/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 112ms)
 2017-04-30 17:10:31,425 [P14596/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-04-30 17:10:31,452 [P14596/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 26ms)
 2017-04-30 17:10:31,755 [P14596/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-04-30 17:10:31,756 [P14596/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 1ms)
 2017-04-30 17:10:31,758 [P14596/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-04-30 17:10:31,759 [P14596/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 1ms)
 2017-04-30 17:10:34,645 [P14596/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-04-30 17:10:35,509 [P14596/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-04-30 17:10:35,642 [P14596/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-04-30 17:10:35,892 [P14596/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-04-30 17:10:36,162 [P14596/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 5644ms)
 2017-04-30 17:10:39,388 [P14596/D2/T10] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:62811/umbraco (UmbracoModule request)
 2017-04-30 17:10:41,007 [P14596/D2/T10] INFO  umbraco.content - Load Xml from file...
 2017-04-30 17:10:41,015 [P14596/D2/T10] INFO  umbraco.content - Loaded Xml from file.
 2017-04-30 17:10:45,227 [P14596/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-04-30 17:10:45,231 [P14596/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 3ms)
 2017-04-30 17:11:41,186 [P14596/D2/T14] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2017-04-29 17.11.41
 2017-04-30 17:11:41,372 [P14596/D2/T11] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-04-30 17:11:41,376 [P14596/D2/T11] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 4ms)
